time,open,high,low,close,tick_volume,spread,real_volume
2024-10-30 04:00:00,2781.72,2781.9,2776.07,2780.52,4545,14,0
2024-10-30 05:00:00,2780.51,2781.29,2777.29,2778.97,3900,11,0
2024-10-30 06:00:00,2778.97,2780.97,2777.43,2780.21,2352,14,0
2024-10-30 07:00:00,2780.2,2784.93,2778.07,2783.15,3918,14,0
2024-10-30 08:00:00,2783.12,2789.84,2781.3,2787.01,4727,5,0
2024-10-30 09:00:00,2787.07,2788.04,2780.56,2782.3,4321,5,0
2024-10-30 10:00:00,2782.28,2784.59,2779.54,2781.89,4533,14,0
2024-10-30 11:00:00,2781.37,2784.65,2780.17,2784.59,3850,14,0
2024-10-30 12:00:00,2784.56,2786.5,2780.19,2780.2,3860,5,0
2024-10-30 13:00:00,2780.19,2782.06,2778.39,2778.6,4133,14,0
2024-10-30 14:00:00,2778.59,2783.44,2773.36,2782.53,5219,5,0
2024-10-30 15:00:00,2782.52,2787.54,2770.87,2777.34,6375,5,0
2024-10-30 16:00:00,2777.24,2781.79,2775.16,2780.17,6174,5,0
2024-10-30 17:00:00,2780.12,2785.85,2771.97,2784.68,5805,12,0
2024-10-30 18:00:00,2784.69,2787.46,2783.03,2785.39,4933,6,0
2024-10-30 19:00:00,2785.46,2789.61,2783.98,2788.6,4124,9,0
2024-10-30 20:00:00,2788.62,2790.05,2787.35,2787.76,3448,11,0
2024-10-30 21:00:00,2787.77,2788.17,2784.49,2787.38,3337,5,0
2024-10-30 22:00:00,2787.66,2788.08,2784.75,2787.21,1948,6,0
2024-10-31 00:00:00,2787.85,2787.85,2786.08,2787.54,1303,9,0
2024-10-31 01:00:00,2787.54,2788.11,2785.25,2785.33,1336,14,0
2024-10-31 02:00:00,2785.48,2788.21,2784.71,2787.58,2231,10,0
2024-10-31 03:00:00,2787.64,2790.09,2783.54,2784.65,4510,14,0
2024-10-31 04:00:00,2784.62,2789.02,2784.39,2787.11,3898,6,0
2024-10-31 05:00:00,2786.85,2788.45,2784.33,2784.55,2757,8,0
2024-10-31 06:00:00,2784.64,2785.35,2782.05,2784.46,2666,14,0
2024-10-31 07:00:00,2784.37,2786.55,2782.63,2785.06,3721,5,0
2024-10-31 08:00:00,2785.08,2786.03,2779.65,2779.76,4362,12,0
2024-10-31 09:00:00,2779.77,2784.08,2778.11,2782.04,4150,13,0
2024-10-31 10:00:00,2782.03,2783.11,2776.92,2779.0,4306,6,0
2024-10-31 11:00:00,2778.64,2780.15,2777.0,2778.21,3684,5,0
2024-10-31 12:00:00,2778.21,2781.17,2773.34,2780.85,4011,5,0
2024-10-31 13:00:00,2780.96,2782.61,2776.73,2779.44,3956,14,0
2024-10-31 14:00:00,2779.43,2781.94,2771.99,2773.62,5279,5,0
2024-10-31 15:00:00,2773.61,2773.93,2754.71,2755.33,6424,5,0
2024-10-31 16:00:00,2755.34,2756.84,2734.68,2734.79,6612,5,0
2024-10-31 17:00:00,2734.6,2740.95,2731.64,2740.66,6180,5,0
2024-10-31 18:00:00,2740.63,2743.71,2738.03,2740.74,5204,10,0
2024-10-31 19:00:00,2740.78,2743.82,2738.31,2739.63,4119,6,0
2024-10-31 20:00:00,2739.68,2747.98,2739.62,2746.96,4227,5,0
2024-10-31 21:00:00,2747.08,2749.64,2745.76,2746.51,4009,5,0
2024-10-31 22:00:00,2746.55,2748.18,2743.27,2743.77,2092,13,0
2024-11-01 00:00:00,2743.91,2747.65,2743.57,2746.16,1324,5,0
2024-11-01 01:00:00,2746.17,2747.92,2745.5,2746.65,1764,14,0
2024-11-01 02:00:00,2746.69,2747.3,2744.86,2745.07,2638,14,0
2024-11-01 03:00:00,2745.03,2749.89,2744.86,2749.65,5297,14,0
2024-11-01 04:00:00,2749.56,2750.87,2745.81,2748.57,4858,14,0
2024-11-01 05:00:00,2748.71,2751.92,2747.45,2751.85,3785,7,0
2024-11-01 06:00:00,2751.86,2752.91,2750.7,2752.24,2210,8,0
2024-11-01 07:00:00,2752.35,2755.21,2751.69,2754.98,4029,12,0
2024-11-01 08:00:00,2755.06,2757.67,2751.28,2752.01,4883,6,0
2024-11-01 09:00:00,2752.02,2753.13,2747.08,2749.66,4069,7,0
2024-11-01 10:00:00,2749.36,2755.08,2748.55,2753.3,4741,5,0
2024-11-01 11:00:00,2753.42,2755.46,2748.12,2751.26,4288,9,0
2024-11-01 12:00:00,2751.25,2751.82,2744.84,2749.65,4318,5,0
2024-11-01 13:00:00,2749.63,2754.06,2749.61,2752.97,4017,13,0
2024-11-01 14:00:00,2753.05,2759.87,2748.88,2753.74,5867,5,0
2024-11-01 15:00:00,2753.84,2762.26,2752.19,2755.67,6102,5,0
2024-11-01 16:00:00,2757.77,2758.87,2739.74,2747.16,6552,5,0
2024-11-01 17:00:00,2747.3,2750.18,2742.57,2744.79,5816,5,0
2024-11-01 18:00:00,2744.77,2746.14,2740.47,2743.18,5140,12,0
2024-11-01 19:00:00,2743.15,2743.98,2735.09,2736.32,4496,8,0
2024-11-01 20:00:00,2736.31,2738.02,2733.53,2736.21,4046,9,0
2024-11-01 21:00:00,2736.26,2737.02,2733.17,2733.92,3498,14,0
2024-11-01 22:00:00,2734.14,2736.17,2733.26,2735.84,1771,5,0
2024-11-04 01:00:00,2738.13,2740.88,2730.55,2738.34,3622,14,0
2024-11-04 02:00:00,2738.36,2740.98,2736.99,2740.34,3201,14,0
2024-11-04 03:00:00,2740.51,2741.33,2735.35,2739.91,5399,13,0
2024-11-04 04:00:00,2739.9,2740.96,2736.98,2739.95,4514,5,0
2024-11-04 05:00:00,2739.93,2742.41,2739.34,2740.95,4248,14,0
2024-11-04 06:00:00,2740.92,2742.13,2739.74,2740.9,2750,14,0
2024-11-04 07:00:00,2740.89,2743.68,2737.69,2741.53,4263,9,0
2024-11-04 08:00:00,2741.56,2741.62,2735.73,2741.42,4669,14,0
2024-11-04 09:00:00,2741.55,2744.75,2735.1,2735.86,4292,9,0
2024-11-04 10:00:00,2735.83,2738.42,2732.04,2733.35,4643,9,0
2024-11-04 11:00:00,2733.34,2744.04,2732.56,2743.3,4716,9,0
2024-11-04 12:00:00,2743.31,2745.18,2736.47,2738.62,3998,7,0
2024-11-04 13:00:00,2738.5,2740.89,2736.1,2740.58,3944,13,0
2024-11-04 14:00:00,2740.5,2744.02,2739.5,2743.39,4091,5,0
2024-11-04 15:00:00,2743.4,2746.74,2738.77,2746.73,5710,8,0
2024-11-04 16:00:00,2746.74,2748.16,2737.87,2743.27,5860,6,0
2024-11-04 17:00:00,2743.26,2745.55,2737.71,2738.51,5879,14,0
2024-11-04 18:00:00,2738.51,2738.9,2732.37,2734.2,5164,5,0
2024-11-04 19:00:00,2734.22,2738.51,2731.74,2738.41,4150,5,0
2024-11-04 20:00:00,2738.46,2739.24,2735.67,2738.09,4109,14,0
2024-11-04 21:00:00,2738.2,2739.66,2737.2,2738.32,3512,10,0
2024-11-04 22:00:00,2738.33,2738.59,2736.31,2737.34,3166,5,0
2024-11-04 23:00:00,2737.36,2737.66,2735.94,2736.46,1048,13,0
2024-11-05 01:00:00,2736.84,2738.06,2736.03,2736.06,1317,5,0
2024-11-05 02:00:00,2736.11,2736.69,2734.03,2735.08,2447,14,0
2024-11-05 03:00:00,2735.09,2736.16,2732.94,2734.25,4736,14,0
2024-11-05 04:00:00,2734.25,2735.26,2724.71,2728.4,4931,5,0
2024-11-05 05:00:00,2728.39,2735.95,2727.71,2735.32,4019,14,0
2024-11-05 06:00:00,2735.32,2736.39,2733.13,2734.45,2694,14,0
2024-11-05 07:00:00,2734.42,2737.22,2731.97,2732.56,3933,5,0
2024-11-05 08:00:00,2732.56,2738.77,2731.7,2737.82,4685,6,0
2024-11-05 09:00:00,2737.82,2741.32,2735.12,2736.46,3881,5,0
2024-11-05 10:00:00,2736.3,2743.26,2732.09,2742.53,4700,14,0
2024-11-05 11:00:00,2742.54,2744.9,2738.83,2739.91,4078,6,0
2024-11-05 12:00:00,2739.92,2740.23,2735.6,2737.88,4084,10,0
2024-11-05 13:00:00,2737.86,2743.0,2737.86,2741.71,3682,11,0
2024-11-05 14:00:00,2741.78,2743.15,2737.61,2737.92,3758,14,0
2024-11-05 15:00:00,2738.05,2746.74,2736.34,2744.8,4856,5,0
2024-11-05 16:00:00,2744.71,2749.88,2741.54,2746.33,5551,10,0
2024-11-05 17:00:00,2742.69,2745.4,2732.99,2742.07,6103,6,0
2024-11-05 18:00:00,2742.06,2744.5,2736.39,2738.93,4943,5,0
2024-11-05 19:00:00,2739.19,2743.62,2738.24,2741.99,3905,5,0
2024-11-05 20:00:00,2741.99,2743.88,2739.34,2741.23,3873,14,0
2024-11-05 21:00:00,2741.23,2742.28,2739.53,2740.47,3066,14,0
2024-11-05 22:00:00,2740.36,2743.51,2739.65,2743.03,2569,14,0
2024-11-05 23:00:00,2743.14,2744.96,2742.57,2743.72,1363,14,0
2024-11-06 01:00:00,2743.32,2746.42,2741.99,2745.71,2049,5,0
2024-11-06 02:00:00,2745.7,2745.72,2735.34,2737.99,4791,5,0
2024-11-06 03:00:00,2738.51,2749.69,2732.64,2747.09,6145,14,0
2024-11-06 04:00:00,2746.88,2748.39,2736.71,2737.49,6230,13,0
2024-11-06 05:00:00,2737.52,2743.5,2730.69,2734.12,6070,5,0
2024-11-06 06:00:00,2734.12,2742.96,2733.39,2741.82,5128,5,0
2024-11-06 07:00:00,2741.99,2743.65,2736.4,2739.05,5688,12,0
2024-11-06 08:00:00,2738.79,2739.33,2701.5,2706.84,6380,7,0
2024-11-06 09:00:00,2707.01,2733.16,2704.19,2725.89,6029,5,0
2024-11-06 10:00:00,2725.56,2733.67,2722.82,2724.51,5732,9,0
2024-11-06 11:00:00,2724.48,2728.5,2716.45,2724.65,4988,7,0
2024-11-06 12:00:00,2724.53,2727.12,2718.7,2720.25,4487,5,0
2024-11-06 13:00:00,2720.22,2722.72,2696.27,2699.39,5316,5,0
2024-11-06 14:00:00,2698.46,2707.99,2693.44,2695.14,5605,5,0
2024-11-06 15:00:00,2694.81,2694.81,2659.14,2664.12,6742,5,0
2024-11-06 16:00:00,2663.89,2670.36,2652.44,2659.81,6588,5,0
2024-11-06 17:00:00,2659.83,2675.89,2657.47,2675.77,6507,5,0
2024-11-06 18:00:00,2675.93,2678.18,2662.95,2666.19,5775,7,0
2024-11-06 19:00:00,2666.2,2669.23,2661.54,2663.24,4952,9,0
2024-11-06 20:00:00,2663.35,2669.57,2662.83,2665.57,4851,5,0
2024-11-06 21:00:00,2665.63,2668.47,2664.96,2667.02,4313,14,0
2024-11-06 22:00:00,2667.07,2667.7,2659.35,2660.68,3890,13,0
2024-11-06 23:00:00,2660.68,2662.41,2658.89,2658.94,1499,14,0
2024-11-07 01:00:00,2659.18,2664.33,2659.08,2664.07,2203,5,0
2024-11-07 02:00:00,2664.05,2664.2,2660.95,2661.52,2997,12,0
2024-11-07 03:00:00,2661.43,2663.94,2643.33,2649.44,6096,5,0
2024-11-07 04:00:00,2649.41,2657.55,2649.41,2657.44,5333,6,0
2024-11-07 05:00:00,2657.51,2661.24,2655.69,2659.24,4264,14,0
2024-11-07 06:00:00,2659.21,2659.66,2654.14,2654.61,3260,5,0
2024-11-07 07:00:00,2654.72,2660.69,2654.72,2659.31,4118,14,0
2024-11-07 08:00:00,2659.13,2659.5,2652.82,2657.05,4775,6,0
2024-11-07 09:00:00,2657.08,2667.57,2656.15,2663.31,4826,12,0
2024-11-07 10:00:00,2663.59,2666.69,2657.47,2657.67,4934,5,0
2024-11-07 11:00:00,2657.52,2666.03,2657.52,2661.62,4239,5,0
2024-11-07 12:00:00,2661.64,2668.39,2659.85,2666.59,3992,5,0
2024-11-07 13:00:00,2666.55,2668.07,2663.83,2666.18,3660,5,0
2024-11-07 14:00:00,2666.19,2674.09,2664.23,2673.65,4632,7,0
2024-11-07 15:00:00,2673.81,2685.06,2672.38,2684.51,6216,5,0
2024-11-07 16:00:00,2684.73,2694.95,2682.38,2691.81,6055,5,0
2024-11-07 17:00:00,2691.56,2700.09,2690.13,2698.79,6008,11,0
2024-11-07 18:00:00,2698.7,2699.45,2690.68,2695.79,5451,5,0
2024-11-07 19:00:00,2695.87,2700.21,2694.3,2699.21,4355,14,0
2024-11-07 20:00:00,2699.32,2699.32,2694.01,2695.1,3997,14,0
2024-11-07 21:00:00,2695.09,2698.01,2687.56,2694.25,5927,10,0
2024-11-07 22:00:00,2694.38,2710.27,2692.83,2704.48,5191,5,0
2024-11-07 23:00:00,2704.43,2708.55,2703.69,2706.24,1865,10,0
2024-11-08 01:00:00,2705.81,2708.08,2704.14,2706.94,1988,5,0
2024-11-08 02:00:00,2706.93,2710.35,2705.58,2706.27,2792,5,0
2024-11-08 03:00:00,2706.33,2707.54,2699.19,2699.85,5363,8,0
2024-11-08 04:00:00,2699.87,2701.03,2695.13,2697.55,4825,5,0
2024-11-08 05:00:00,2697.45,2700.51,2694.1,2695.17,3964,14,0
2024-11-08 06:00:00,2695.11,2696.11,2693.28,2693.58,2848,7,0
2024-11-08 07:00:00,2693.58,2696.3,2693.58,2695.12,3836,12,0
2024-11-08 08:00:00,2695.12,2695.7,2686.03,2686.39,4971,5,0
2024-11-08 09:00:00,2686.14,2687.77,2680.35,2687.39,4404,5,0
2024-11-08 10:00:00,2687.42,2691.78,2681.94,2688.72,5602,5,0
2024-11-08 11:00:00,2688.6,2690.95,2687.15,2689.23,4576,5,0
2024-11-08 12:00:00,2689.3,2689.3,2682.02,2688.54,4339,7,0
2024-11-08 13:00:00,2688.69,2694.92,2686.78,2691.86,4075,5,0
2024-11-08 14:00:00,2691.86,2693.1,2686.25,2691.94,4514,5,0
2024-11-08 15:00:00,2691.55,2701.04,2687.92,2697.57,5988,5,0
2024-11-08 16:00:00,2697.69,2704.1,2687.85,2691.54,6059,5,0
2024-11-08 17:00:00,2690.07,2692.87,2683.46,2687.53,6091,5,0
2024-11-08 18:00:00,2687.47,2689.22,2682.98,2683.28,5060,5,0
2024-11-08 19:00:00,2683.43,2688.47,2683.43,2687.89,4348,5,0
2024-11-08 20:00:00,2687.89,2688.75,2683.83,2684.91,3811,5,0
2024-11-08 21:00:00,2685.12,2687.53,2683.26,2687.09,3260,13,0
2024-11-08 22:00:00,2686.96,2688.56,2684.91,2685.02,3200,14,0
2024-11-08 23:00:00,2685.06,2685.88,2682.74,2684.15,1318,7,0
2024-11-11 01:00:00,2682.96,2685.68,2678.87,2685.68,2528,7,0
2024-11-11 02:00:00,2685.62,2686.22,2682.56,2683.98,2530,14,0
2024-11-11 03:00:00,2683.91,2684.8,2671.89,2672.99,5609,5,0
2024-11-11 04:00:00,2673.02,2675.12,2666.43,2671.99,4631,5,0
2024-11-11 05:00:00,2671.74,2671.98,2668.03,2670.3,3356,7,0
2024-11-11 06:00:00,2670.19,2672.35,2668.86,2672.14,3386,12,0
2024-11-11 07:00:00,2672.19,2674.26,2667.04,2669.24,4112,5,0
2024-11-11 08:00:00,2669.22,2674.05,2668.48,2673.21,4075,13,0
2024-11-11 09:00:00,2673.27,2674.03,2668.83,2669.57,4403,5,0
2024-11-11 10:00:00,2669.37,2671.75,2667.6,2669.52,4636,5,0
2024-11-11 11:00:00,2669.51,2670.85,2663.85,2666.85,4657,5,0
2024-11-11 12:00:00,2666.84,2675.33,2660.95,2661.91,4543,5,0
2024-11-11 13:00:00,2661.86,2666.99,2658.97,2662.6,4482,5,0
2024-11-11 14:00:00,2662.62,2663.19,2656.68,2657.24,4647,10,0
2024-11-11 15:00:00,2657.1,2657.53,2634.33,2635.49,6092,8,0
2024-11-11 16:00:00,2635.54,2635.63,2617.71,2622.48,6303,5,0
2024-11-11 17:00:00,2623.04,2626.28,2613.45,2614.55,5842,6,0
2024-11-11 18:00:00,2614.54,2618.05,2612.55,2614.91,5020,5,0
2024-11-11 19:00:00,2615.16,2616.96,2611.52,2612.56,4092,5,0
2024-11-11 20:00:00,2612.54,2619.21,2610.59,2618.96,3824,14,0
2024-11-11 21:00:00,2618.93,2620.6,2617.82,2619.11,2936,5,0
2024-11-11 22:00:00,2619.25,2626.17,2619.25,2621.96,3185,14,0
2024-11-11 23:00:00,2621.96,2623.04,2619.17,2619.3,1296,5,0
2024-11-12 01:00:00,2619.5,2624.09,2619.29,2624.01,1329,5,0
2024-11-12 02:00:00,2624.02,2625.08,2622.25,2624.02,2547,5,0
2024-11-12 03:00:00,2623.99,2627.13,2619.2,2624.05,5110,10,0
2024-11-12 04:00:00,2623.97,2625.43,2620.47,2622.04,4650,14,0
2024-11-12 05:00:00,2622.01,2623.79,2618.75,2618.93,3562,14,0
2024-11-12 06:00:00,2618.83,2619.08,2615.57,2617.76,3222,13,0
2024-11-12 07:00:00,2617.9,2618.13,2605.4,2606.89,4665,13,0
2024-11-12 08:00:00,2606.84,2610.14,2603.47,2607.94,5241,5,0
2024-11-12 09:00:00,2607.91,2609.05,2595.14,2598.06,4983,5,0
2024-11-12 10:00:00,2598.51,2606.49,2598.01,2600.64,5070,5,0
2024-11-12 11:00:00,2600.39,2600.75,2590.87,2593.31,4957,5,0
2024-11-12 12:00:00,2593.28,2598.63,2589.81,2596.69,4658,5,0
2024-11-12 13:00:00,2596.7,2599.13,2592.44,2597.83,4772,10,0
2024-11-12 14:00:00,2597.84,2607.09,2597.84,2605.26,5287,5,0
2024-11-12 15:00:00,2605.24,2616.37,2604.47,2611.58,5909,5,0
2024-11-12 16:00:00,2611.62,2616.96,2609.02,2610.37,6033,14,0
2024-11-12 17:00:00,2610.36,2611.73,2597.41,2598.41,5962,5,0
2024-11-12 18:00:00,2598.46,2604.18,2597.77,2600.74,5467,5,0
2024-11-12 19:00:00,2600.76,2601.1,2592.46,2597.46,5073,14,0
2024-11-12 20:00:00,2597.54,2602.05,2596.4,2599.26,4518,5,0
2024-11-12 21:00:00,2599.27,2601.29,2597.9,2598.12,3682,7,0
2024-11-12 22:00:00,2598.05,2601.35,2595.09,2599.61,3531,7,0
2024-11-12 23:00:00,2599.96,2600.69,2597.2,2597.98,1531,14,0
2024-11-13 01:00:00,2598.53,2599.82,2597.57,2598.97,1277,5,0
2024-11-13 02:00:00,2598.97,2599.9,2598.04,2599.42,2191,5,0
2024-11-13 03:00:00,2599.45,2611.19,2599.45,2607.98,5294,14,0
2024-11-13 04:00:00,2608.25,2612.6,2605.17,2612.13,4457,13,0
2024-11-13 05:00:00,2612.14,2613.34,2606.36,2611.61,3833,5,0
2024-11-13 06:00:00,2611.6,2612.42,2606.11,2606.24,2956,12,0
2024-11-13 07:00:00,2606.33,2607.92,2603.6,2605.79,3784,5,0
2024-11-13 08:00:00,2605.79,2607.44,2604.22,2605.33,4242,14,0
2024-11-13 09:00:00,2605.34,2607.41,2604.3,2606.24,3669,14,0
2024-11-13 10:00:00,2605.99,2610.66,2601.06,2607.62,4730,5,0
2024-11-13 11:00:00,2607.65,2611.6,2607.39,2608.65,4275,14,0
2024-11-13 12:00:00,2608.6,2610.44,2606.93,2609.06,3785,14,0
2024-11-13 13:00:00,2609.07,2611.6,2605.85,2610.82,3827,10,0
2024-11-13 14:00:00,2610.83,2612.71,2608.93,2609.65,4262,9,0
2024-11-13 15:00:00,2609.65,2618.81,2607.13,2612.31,6122,6,0
2024-11-13 16:00:00,2612.21,2616.36,2601.2,2602.29,6404,7,0
2024-11-13 17:00:00,2602.16,2606.89,2593.63,2605.37,6454,5,0
2024-11-13 18:00:00,2605.29,2605.95,2584.74,2585.82,5814,5,0
2024-11-13 19:00:00,2585.73,2586.75,2577.56,2583.32,5723,5,0
2024-11-13 20:00:00,2583.29,2585.42,2579.56,2582.75,4654,9,0
2024-11-13 21:00:00,2582.75,2584.78,2580.59,2580.98,3911,5,0
